iter	Passed	Remaining
0	0	93
1	1	97
2	3	102
3	4	96
4	5	96
5	6	94
6	7	94
7	8	93
8	9	91
9	9	88
10	10	85
11	11	85
12	12	84
13	13	83
14	14	81
15	15	79
16	15	77
17	16	77
18	18	78
19	19	77
20	20	76
21	21	74
22	21	73
23	22	72
24	23	71
25	24	69
26	25	68
27	26	67
28	27	66
29	28	65
30	28	64
31	29	63
32	30	62
33	31	61
34	33	61
35	34	61
36	35	59
37	36	58
38	36	57
39	37	56
40	38	55
41	39	54
42	40	53
43	41	52
44	42	51
45	42	50
46	43	49
47	44	48
48	45	47
49	46	46
50	47	46
51	48	45
52	50	44
53	51	43
54	52	42
55	53	41
56	54	40
57	55	39
58	55	38
59	56	37
60	57	36
61	58	36
62	60	35
63	60	34
64	62	33
65	63	32
66	64	31
67	65	30
68	66	29
69	67	28
70	68	27
71	69	26
72	70	25
73	71	24
74	71	23
75	72	22
76	73	21
77	74	20
78	75	19
79	75	18
80	76	18
81	77	17
82	78	16
83	79	15
84	80	14
85	81	13
86	82	12
87	83	11
88	83	10
89	84	9
90	85	8
91	86	7
92	87	6
93	88	5
94	89	4
95	89	3
96	90	2
97	91	1
98	92	0
99	93	0
