iter	Passed	Remaining
0	139	139848
1	141	70508
2	142	47337
3	143	35718
4	144	28722
5	145	24053
6	146	20721
7	146	18223
8	147	16276
9	148	14719
10	149	13471
11	151	12459
12	152	11588
13	153	10844
14	154	10170
15	155	9576
16	156	9048
17	157	8577
18	157	8155
19	158	7779
20	159	7437
21	160	7127
22	161	6845
23	161	6584
24	162	6344
25	163	6123
26	164	5926
27	165	5761
28	166	5590
29	167	5425
30	168	5271
31	169	5128
32	170	4995
33	171	4867
34	172	4747
35	173	4634
36	173	4526
37	174	4425
38	175	4328
39	176	4234
40	177	4150
41	178	4073
42	180	4006
43	180	3932
44	181	3859
45	182	3788
46	183	3721
47	184	3659
48	185	3597
49	186	3539
50	187	3482
51	187	3427
52	188	3374
53	189	3324
54	190	3275
55	191	3228
56	192	3183
57	193	3142
58	194	3105
59	195	3065
60	196	3025
61	197	2985
62	198	2949
63	199	2912
64	200	2877
65	200	2842
66	201	2808
67	202	2775
68	203	2744
69	204	2712
70	205	2682
71	205	2653
72	206	2625
73	207	2598
74	208	2575
75	209	2552
76	210	2527
77	211	2501
78	212	2476
79	213	2453
80	214	2429
81	215	2406
82	215	2380
83	216	2359
84	217	2338
85	218	2317
86	218	2297
87	219	2278
88	220	2259
89	221	2240
90	222	2224
91	223	2208
92	225	2195
93	226	2180
94	227	2165
95	228	2150
96	229	2135
97	230	2122
98	231	2108
99	232	2093
100	233	2077
101	234	2062
102	235	2047
103	235	2032
104	236	2017
105	237	2004
106	239	1996
107	240	1990
108	242	1978
109	243	1967
110	244	1954
111	244	1942
112	245	1929
113	246	1916
114	247	1904
115	248	1892
116	248	1879
117	249	1867
118	250	1856
119	251	1845
120	252	1835
121	253	1824
122	254	1817
123	256	1808
124	257	1800
125	258	1790
126	258	1778
127	259	1768
128	260	1759
129	261	1749
130	262	1739
131	263	1730
132	263	1720
133	264	1710
134	265	1701
135	266	1693
136	267	1686
137	269	1681
138	270	1673
139	271	1664
140	271	1656
141	272	1645
142	273	1637
143	274	1629
144	274	1621
145	275	1613
146	276	1605
147	277	1597
148	278	1589
149	279	1581
150	280	1574
151	280	1567
152	281	1560
153	282	1554
154	284	1549
155	285	1542
156	286	1535
157	286	1528
158	287	1522
159	288	1515
160	289	1507
161	290	1500
162	290	1493
163	291	1487
164	292	1481
165	293	1474
166	294	1468
167	295	1462
168	296	1456
169	297	1451
170	298	1447
171	299	1441
172	300	1435
173	301	1430
174	302	1424
175	302	1418
176	303	1412
177	304	1407
178	306	1404
179	307	1399
180	308	1393
181	308	1388
182	309	1383
183	310	1377
184	311	1373
185	312	1369
186	314	1366
187	315	1361
188	316	1357
189	317	1353
190	318	1348
191	319	1343
192	320	1338
193	320	1333
194	321	1328
195	322	1323
196	323	1318
197	324	1313
198	325	1308
199	325	1303
200	327	1299
201	328	1297
202	329	1293
203	330	1289
204	331	1284
205	332	1279
206	332	1275
207	333	1271
208	334	1266
209	335	1262
210	336	1258
211	337	1253
212	338	1249
213	339	1245
214	339	1240
215	340	1236
216	341	1232
217	342	1229
218	343	1226
219	344	1222
220	345	1218
221	346	1214
222	347	1210
223	348	1206
224	349	1202
225	349	1198
226	350	1194
227	351	1190
228	352	1186
229	353	1182
230	354	1179
231	355	1175
232	355	1171
233	356	1168
234	359	1168
235	359	1165
236	360	1162
237	362	1159
238	363	1156
239	364	1153
240	365	1151
241	366	1148
242	367	1145
243	368	1142
244	369	1139
245	370	1135
246	371	1132
247	372	1129
248	373	1126
249	374	1124
250	375	1121
251	376	1118
252	377	1114
253	378	1111
254	379	1108
255	380	1105
256	381	1102
257	382	1099
258	383	1095
259	383	1092
260	384	1089
261	385	1086
262	386	1082
263	387	1080
264	388	1078
265	389	1075
266	390	1072
267	391	1069
268	392	1066
269	393	1063
270	394	1060
271	394	1057
272	395	1054
273	396	1051
274	397	1048
275	398	1045
276	399	1042
277	400	1039
278	401	1036
279	402	1034
280	403	1032
281	404	1029
282	405	1026
283	405	1023
284	406	1020
285	407	1017
286	408	1014
287	409	1012
288	410	1009
289	411	1006
290	412	1004
291	412	1001
292	413	998
293	414	995
294	415	993
295	416	991
296	418	989
297	419	988
298	420	985
299	421	983
300	422	980
301	423	978
302	424	975
303	425	973
304	426	971
305	427	969
306	428	966
307	429	964
308	430	961
309	430	959
310	432	957
311	433	955
312	434	953
313	435	950
314	436	948
315	436	945
316	437	943
317	438	940
318	439	938
319	440	935
320	441	933
321	441	930
322	442	928
323	443	925
324	444	923
325	445	920
326	446	919
327	447	917
328	448	915
329	449	912
330	450	910
331	451	907
332	452	905
333	452	903
334	453	900
335	454	898
336	455	895
337	456	893
338	457	891
339	457	888
340	458	886
341	459	884
342	460	882
343	461	880
344	462	878
345	463	876
346	464	874
347	465	872
348	466	869
349	467	867
350	467	865
351	468	863
352	469	860
353	470	858
354	471	856
355	472	854
356	473	852
357	474	850
358	474	848
359	476	846
360	477	844
361	478	842
362	478	840
363	479	838
364	480	836
365	481	833
366	482	831
367	483	829
368	483	827
369	484	825
370	485	823
371	486	821
372	487	819
373	488	817
374	489	815
375	490	813
376	491	811
377	492	810
378	493	808
379	494	806
380	495	804
381	495	802
382	496	800
383	497	798
384	498	796
385	499	794
386	500	792
387	500	790
388	501	788
389	502	786
390	503	783
391	504	782
392	505	780
393	506	778
394	507	777
395	508	775
396	509	773
397	510	771
398	511	769
399	511	767
400	512	765
401	513	763
402	514	762
403	515	760
404	516	758
405	516	756
406	517	754
407	518	752
408	519	750
409	519	748
410	520	746
411	522	745
412	523	744
413	524	742
414	525	740
415	526	739
416	527	737
417	528	735
418	529	733
419	529	731
420	530	729
421	531	728
422	532	726
423	533	724
424	534	722
425	534	720
426	535	719
427	537	718
428	538	717
429	539	715
430	540	713
431	541	712
432	542	710
433	543	709
434	546	709
435	547	707
436	548	706
437	549	704
438	550	702
439	551	701
440	552	700
441	553	698
442	554	696
443	554	694
444	555	693
445	556	691
446	557	689
447	558	687
448	559	686
449	560	684
450	561	682
451	561	681
452	562	679
453	563	677
454	564	675
455	565	674
456	566	673
457	567	671
458	568	669
459	569	668
460	570	666
461	570	664
462	571	663
463	572	661
464	573	660
465	574	658
466	575	656
467	576	655
468	577	653
469	577	651
470	578	650
471	579	648
472	580	646
473	581	645
474	582	643
475	583	642
476	584	640
477	585	638
478	585	637
479	586	635
480	587	634
481	588	632
482	589	630
483	590	629
484	591	627
485	592	626
486	593	625
487	594	623
488	596	623
489	598	622
490	601	623
491	603	623
492	604	622
493	606	620
494	607	619
495	608	618
496	609	617
497	611	616
498	614	616
499	615	615
500	618	615
501	619	614
502	620	613
503	622	612
504	623	611
505	625	610
506	628	611
507	629	609
508	630	608
509	632	607
510	633	606
511	634	605
512	636	604
513	638	603
514	640	603
515	642	602
516	644	601
517	646	601
518	647	600
519	649	599
520	651	598
521	652	597
522	654	596
523	655	595
524	657	594
525	658	593
526	660	592
527	661	591
528	662	590
529	663	588
530	665	587
531	666	586
532	667	585
533	668	583
534	670	582
535	672	581
536	673	580
537	674	579
538	676	578
539	677	577
540	678	575
541	679	574
542	681	573
543	682	572
544	683	570
545	684	569
546	686	568
547	687	567
548	689	566
549	690	564
550	691	563
551	692	561
552	693	560
553	694	559
554	696	558
555	697	557
556	698	555
557	700	555
558	703	554
559	704	553
560	706	552
561	707	551
562	709	550
563	711	549
564	715	550
565	721	553
566	723	552
567	724	550
568	725	549
569	726	548
570	727	546
571	729	545
572	730	544
573	732	543
574	733	542
575	734	540
576	735	539
577	737	538
578	738	536
579	739	535
580	741	534
581	742	533
582	745	532
583	747	532
584	748	531
585	750	529
586	751	528
587	752	527
588	753	525
589	754	524
590	755	522
591	756	521
592	757	519
593	758	518
594	759	517
595	761	516
596	763	515
597	764	514
598	766	513
599	767	511
600	769	510
601	770	509
602	771	508
603	772	506
604	774	505
605	777	505
606	778	504
607	779	502
608	781	501
609	782	500
610	784	499
611	785	498
612	787	496
613	788	495
614	789	494
615	791	493
616	792	492
617	793	490
618	794	489
619	795	487
620	797	486
621	797	484
622	798	483
623	799	482
624	801	480
625	801	479
626	802	477
627	803	476
628	804	474
629	806	473
630	807	472
631	808	470
632	809	469
633	810	467
634	811	466
635	811	464
636	812	463
637	813	461
638	814	460
639	815	458
640	816	457
641	816	455
642	818	454
643	819	452
644	820	451
645	821	450
646	822	448
647	823	447
648	824	445
649	825	444
650	826	442
651	827	441
652	828	440
653	829	438
654	829	437
655	830	435
656	831	434
657	832	432
658	833	431
659	834	429
660	835	428
661	836	427
662	837	425
663	838	424
664	839	422
665	840	421
666	840	419
667	841	418
668	842	416
669	843	415
670	844	413
671	845	412
672	846	411
673	847	409
674	848	408
675	849	407
676	850	405
677	851	404
678	852	403
679	853	401
680	854	400
681	854	398
682	855	397
683	856	395
684	857	394
685	858	392
686	859	391
687	860	390
688	860	388
689	861	387
690	862	385
691	863	384
692	864	382
693	865	381
694	866	380
695	867	378
696	868	377
697	869	376
698	870	374
699	870	373
700	871	371
701	872	370
702	873	369
703	874	367
704	875	366
705	876	365
706	877	363
707	878	362
708	879	361
709	880	359
710	882	358
711	882	357
712	883	355
713	884	354
714	885	353
715	886	351
716	887	350
717	889	349
718	889	347
719	890	346
720	891	345
721	892	343
722	893	342
723	894	341
724	896	339
725	897	338
726	898	337
727	899	335
728	900	334
729	901	333
730	901	331
731	902	330
732	903	329
733	904	327
734	905	326
735	906	325
736	906	323
737	907	322
738	908	320
739	909	319
740	911	318
741	912	317
742	913	315
743	913	314
744	914	313
745	915	311
746	916	310
747	917	309
748	918	307
749	919	306
750	920	305
751	921	303
752	922	302
753	923	301
754	923	299
755	925	298
756	926	297
757	926	295
758	927	294
759	928	293
760	929	292
761	930	290
762	931	289
763	932	288
764	933	286
765	934	285
766	935	284
767	935	282
768	936	281
769	937	280
770	938	278
771	939	277
772	940	276
773	941	274
774	942	273
775	943	272
776	944	270
777	945	269
778	945	268
779	946	267
780	947	265
781	948	264
782	949	263
783	950	261
784	950	260
785	951	259
786	952	257
787	953	256
788	954	255
789	955	254
790	956	252
791	957	251
792	958	250
793	959	248
794	960	247
795	961	246
796	962	245
797	962	243
798	963	242
799	964	241
800	965	239
801	966	238
802	967	237
803	968	236
804	969	234
805	970	233
806	971	232
807	972	231
808	973	229
809	974	228
810	974	227
811	975	225
812	976	224
813	977	223
814	978	222
815	979	220
816	980	219
817	981	218
818	981	216
819	982	215
820	983	214
821	984	213
822	985	211
823	986	210
824	987	209
825	988	208
826	989	207
827	990	205
828	991	204
829	992	203
830	993	202
831	994	200
832	995	199
833	996	198
834	996	197
835	997	195
836	998	194
837	999	193
838	1001	192
839	1002	190
840	1003	189
841	1003	188
842	1004	187
843	1005	185
844	1006	184
845	1007	183
846	1008	182
847	1009	180
848	1009	179
849	1010	178
850	1011	177
851	1012	175
852	1013	174
853	1014	173
854	1015	172
855	1016	170
856	1017	169
857	1018	168
858	1019	167
859	1019	166
860	1020	164
861	1021	163
862	1022	162
863	1023	161
864	1024	159
865	1025	158
866	1025	157
867	1026	156
868	1027	154
869	1028	153
870	1029	152
871	1030	151
872	1031	150
873	1032	148
874	1033	147
875	1034	146
876	1035	145
877	1036	143
878	1036	142
879	1037	141
880	1038	140
881	1039	139
882	1040	137
883	1041	136
884	1042	135
885	1042	134
886	1043	132
887	1044	131
888	1045	130
889	1047	129
890	1048	128
891	1048	126
892	1049	125
893	1050	124
894	1051	123
895	1052	122
896	1053	120
897	1054	119
898	1055	118
899	1056	117
900	1057	116
901	1057	114
902	1058	113
903	1059	112
904	1060	111
905	1062	110
906	1062	108
907	1063	107
908	1064	106
909	1065	105
910	1066	104
911	1067	102
912	1068	101
913	1069	100
914	1069	99
915	1070	98
916	1071	96
917	1072	95
918	1073	94
919	1074	93
920	1075	92
921	1076	91
922	1077	89
923	1078	88
924	1079	87
925	1080	86
926	1081	85
927	1082	83
928	1083	82
929	1083	81
930	1084	80
931	1085	79
932	1086	78
933	1087	76
934	1088	75
935	1089	74
936	1091	73
937	1092	72
938	1093	71
939	1094	69
940	1095	68
941	1096	67
942	1097	66
943	1098	65
944	1099	63
945	1100	62
946	1101	61
947	1102	60
948	1103	59
949	1104	58
950	1104	56
951	1106	55
952	1107	54
953	1108	53
954	1109	52
955	1110	51
956	1111	49
957	1111	48
958	1112	47
959	1113	46
960	1114	45
961	1115	44
962	1116	42
963	1116	41
964	1117	40
965	1118	39
966	1119	38
967	1120	37
968	1121	35
969	1122	34
970	1123	33
971	1124	32
972	1125	31
973	1125	30
974	1126	28
975	1127	27
976	1128	26
977	1129	25
978	1130	24
979	1131	23
980	1132	21
981	1132	20
982	1133	19
983	1134	18
984	1135	17
985	1137	16
986	1138	14
987	1139	13
988	1140	12
989	1141	11
990	1141	10
991	1142	9
992	1143	8
993	1144	6
994	1145	5
995	1146	4
996	1147	3
997	1148	2
998	1148	1
999	1149	0
